agent,pxd_id,field,golden,llm,match_type,score
BiologicalAgent,PXD001856,species,human (Homo sapiens),,NO_MATCH,0.0
BiologicalAgent,PXD002619,species,Homo sapiens,Human,SEMANTIC,0.8253394365310669
BiologicalAgent,PXD002619,organ,breast cancer cell,tumour,NO_MATCH,0.473658949136734
BiologicalAgent,PXD002619,disease,breast cancer,breast cancer; breast tumour,EXACT,1.0
BiologicalAgent,PXD005982,species,Oryza sativa L.,Oryza sativa L.; Nipponbare,EXACT,1.0
BiologicalAgent,PXD005982,organ,pistil; seed,pistils; seeds,SEMANTIC,0.936498
BiologicalAgent,PXD005982,strain,Nipponbare (Oryza sativa L.),,NO_MATCH,0.0
BiologicalAgent,PXD006847,species,Homo sapiens,Nanodroplet processing platform for deep and quantitative proteome profiling of 10–100 mammalian cells,NO_MATCH,0.27863645553588867
BiologicalAgent,PXD006847,organ,pancreas; islet,,NO_MATCH,0.0
BiologicalAgent,PXD006847,cell_type,cultured cells,,NO_MATCH,0.0
BiologicalAgent,PXD006847,cell_line,HeLa,,NO_MATCH,0.0
BiologicalAgent,PXD006847,disease,Healthy control; Type 1 diabetes,,NO_MATCH,0.0
BiologicalAgent,PXD012439,species,Riftia pachyptila,Host-Microbe Interactions in the Chemosynthetic Riftia pachyptila Symbiosis; Riftia pachyptila Symbiosis; Riftia pachyptila; Riftia; Riftia specimens were collected; Riftia1; Riftia2; Tevnia; human; Drosophila; host,EXACT,1.0
BiologicalAgent,PXD012439,organ,trophosome; vestimentum; plume,lamellae; tentacular crown; trophosome; body wall; vestimental; vestimentum; plume; trophosomes; hair; Riftia,EXACT,1.0
BiologicalAgent,PXD013543,species,Rattus norvegicus,rats; Wistar; Rattus norvegicus,EXACT,1.0
